,Country,Alcoholic Beverages (fat),Animal Products (fat),Animal fats (fat),"Aquatic Products, Other (fat)",Cereals - Excluding Beer (fat),Eggs (fat),"Fish, Seafood (fat)",Fruits - Excluding Wine (fat),Meat (fat),Miscellaneous (fat),Milk - Excluding Butter (fat),Offals (fat),Oilcrops (fat),Pulses (fat),Spices (fat),Starchy Roots (fat),Stimulants (fat),Sugar Crops (fat),Sugar & Sweeteners (fat),Treenuts (fat),Vegetal Products (fat),Vegetable Oils (fat),Vegetables (fat),Obesity (fat),Undernourished (fat),Confirmed (fat),Deaths (fat),Recovered (fat),Active (fat),Population (fat),Unit (all except Population) (fat),Alcoholic Beverages (kcal),Animal Products (kcal),Animal fats (kcal),"Aquatic Products, Other (kcal)",Cereals - Excluding Beer (kcal),Eggs (kcal),"Fish, Seafood (kcal)",Fruits - Excluding Wine (kcal),Meat (kcal),Milk - Excluding Butter (kcal),Miscellaneous (kcal),Offals (kcal),Oilcrops (kcal),Pulses (kcal),Spices (kcal),Starchy Roots (kcal),Stimulants (kcal),Sugar Crops (kcal),Sugar & Sweeteners (kcal),Treenuts (kcal),Vegetal Products (kcal),Vegetable Oils (kcal),Vegetables (kcal),Obesity (kcal),Undernourished (kcal),Confirmed (kcal),Deaths (kcal),Recovered (kcal),Active (kcal),Population (kcal),Unit (all except Population) (kcal),Alcoholic Beverages (protein),Animal Products (protein),Animal fats (protein),"Aquatic Products, Other (protein)",Cereals - Excluding Beer (protein),Eggs (protein),"Fish, Seafood (protein)",Fruits - Excluding Wine (protein),Meat (protein),Milk - Excluding Butter (protein),Offals (protein),Oilcrops (protein),Pulses (protein),Spices (protein),Starchy Roots (protein),Stimulants (protein),Sugar Crops (protein),Sugar & Sweeteners (protein),Treenuts (protein),Vegetal Products (protein),Vegetable Oils (protein),Vegetables (protein),Miscellaneous (protein),Obesity (protein),Undernourished (protein),Confirmed (protein),Deaths (protein),Recovered (protein),Active (protein),Population (protein),Unit (all except Population) (protein)
102,Montenegro,0.0,32.7855,3.8887,0.0,3.7312,1.1566,0.3473,0.3688,14.7778,0.1003,12.5363,0.0752,0.5837,0.0788,0.043,0.0251,2.5531,0.0,0.0,0.8415,17.2163,8.6332,0.2578,24.9,<2.5,10.4081993569132,0.134405144694534,9.03987138263666,1.23392282958199,622000.0,%,1.4078,17.6268,1.3935,0.0,16.1184,0.6608,0.3591,2.3416,6.9674,8.1023,0.3448,0.1437,0.2729,0.6177,0.0431,0.7039,1.2355,0.0,4.7694,0.3591,32.3804,3.0599,1.0918,24.9,<2.5,10.4081993569132,0.134405144694534,9.03987138263666,1.23392282958199,622000.0,%,0.1588,30.3005,0.0882,0.0,13.7184,1.5576,1.6591,0.9134,11.5386,14.9495,0.5074,0.3221,1.2399,0.0529,0.5074,0.8207,0.0,0.0044,0.2647,19.6973,0.0176,1.3502,0.3309,24.9,<2.5,10.4081993569132,0.134405144694534,9.03987138263666,1.23392282958199,622000.0,%
103,Morocco,0.0,15.4227,3.5807,0.0,7.1539,1.1517,1.2329,0.7014,6.9989,0.0074,2.2296,0.2289,0.7309,0.1477,0.3987,0.096,0.1993,0.0,0.0,1.9048,34.5736,22.9457,0.2953,25.6,3.4,1.32111148197597,0.0233116377392078,1.26257510013351,0.0352247441032488,35952000.0,%,0.0888,4.8669,0.6361,0.0,29.4675,0.3402,0.6213,2.0562,2.0858,1.0651,0.0148,0.1183,0.1479,0.6509,0.2219,1.4053,0.0888,0.0,5.4142,0.429,45.1331,4.068,1.0799,25.6,3.4,1.32111148197597,0.0233116377392078,1.26257510013351,0.0352247441032488,35952000.0,%,0.0204,13.9914,0.0255,0.0,29.9052,0.9892,3.248,0.8464,6.5725,2.5342,0.6272,0.0816,1.5552,0.3161,0.9994,0.3518,0.0,0.0,0.4844,36.0086,0.0051,1.4175,0.0204,25.6,3.4,1.32111148197597,0.0233116377392078,1.26257510013351,0.0352247441032488,35952000.0,%
104,Mozambique,0.0,11.591,1.1197,0.0,8.8101,0.5537,0.849,0.1846,6.8783,0.0369,2.0795,0.1107,1.1936,0.7014,0.0246,0.849,0.0984,0.0,0.0,0.8244,38.4152,25.5199,0.16,6.0,27.9,0.141538856446127,0.0014470897773214,0.0859590579477636,0.0541327087210422,31166000.0,%,0.3688,2.9074,0.1736,0.0,21.957,0.1519,0.4556,0.8679,1.3886,0.6943,0.0434,0.0651,0.2821,2.6036,0.0,14.1679,0.0434,0.0,2.148,0.1736,47.1035,3.9705,0.4339,6.0,27.9,0.141538856446127,0.0014470897773214,0.0859590579477636,0.0541327087210422,31166000.0,%,0.1562,8.7767,0.0,0.0,24.9634,0.5467,3.251,0.576,3.0265,1.562,0.4003,0.6248,7.654,0.0098,5.7796,0.2831,0.0,0.0,0.2343,41.2184,0.0,0.8591,0.0781,6.0,27.9,0.141538856446127,0.0014470897773214,0.0859590579477636,0.0541327087210422,31166000.0,%
105,Myanmar,0.0,26.047,3.0066,0.0,3.8192,0.9251,2.5441,0.275,18.1335,0.0375,1.2814,0.1563,5.1194,0.6938,0.5313,0.0625,0.025,0.0,0.0813,0.2688,23.953,12.7453,0.2938,5.7,10.6,,,,,54704000.0,%,0.1296,10.8663,0.8145,0.0,23.4358,0.3887,2.0548,1.3514,6.368,1.1107,0.0926,0.1481,1.7771,2.6287,0.3702,0.722,0.074,0.0,3.5542,0.4258,39.1151,3.3321,1.2403,5.7,10.6,,,,,54704000.0,%,0.0161,23.9286,0.0911,0.0,16.0006,0.8517,8.7797,0.4018,10.2743,3.2248,0.6964,1.6285,4.5961,0.4339,0.2786,0.3107,0.0,0.2625,0.2464,26.0767,0.0,1.8213,0.0804,5.7,10.6,,,,,54704000.0,%
106,Namibia,0.0,16.7373,3.3171,0.0,6.802,0.2718,0.6075,0.2798,7.7772,0.0959,4.548,0.2078,0.8792,0.4316,0.4236,0.5915,0.5995,0.0,0.0,0.1199,33.2667,22.9078,0.1359,15.0,27.3,1.37127115308933,0.0146005509641873,1.31282959464778,0.0438410074773711,2541000.0,%,2.4054,6.5173,0.7607,0.0,18.7294,0.1028,0.4523,1.1308,2.8577,2.1998,0.2056,0.1645,0.2673,1.6036,0.2673,7.2368,0.2056,0.0,5.7155,0.0411,43.4622,5.222,0.4523,15.0,27.3,1.37127115308933,0.0146005509641873,1.31282959464778,0.0438410074773711,2541000.0,%,0.386,18.3127,0.0483,0.008,19.5191,0.3217,2.7586,0.4343,9.6107,4.6244,0.941,0.4745,4.1338,0.3458,5.0828,0.2493,0.0,0.0,0.0402,31.6873,0.0241,0.764,0.2332,15.0,27.3,1.37127115308933,0.0146005509641873,1.31282959464778,0.0438410074773711,2541000.0,%
107,Nepal,0.0,12.1853,3.3076,0.0,7.1664,0.4361,0.1563,0.5513,2.7069,0.0082,5.4139,0.1563,0.4525,0.5513,1.1437,0.1975,0.2468,0.1892,0.0,0.5019,37.8147,26.2136,0.6006,3.8,8.7,0.906140818775837,0.0067842378983864,0.892825710094679,0.006530870782771,29996000.0,%,0.1395,3.767,0.6278,0.0,30.7115,0.1395,0.0872,1.4475,0.872,1.9358,0.0174,0.1046,0.1221,1.9881,0.9069,2.7206,0.0698,0.593,0.9069,0.1744,46.2156,4.918,1.5347,3.8,8.7,0.906140818775837,0.0067842378983864,0.892825710094679,0.006530870782771,29996000.0,%,0.0407,8.5877,0.0271,0.0,28.0559,0.3934,0.5698,0.6105,3.1407,3.7648,0.6919,0.1628,5.0943,1.1328,2.4556,0.1018,0.0814,0.0068,0.156,41.4055,0.0068,3.4866,0.0271,3.8,8.7,0.906140818775837,0.0067842378983864,0.892825710094679,0.006530870782771,29996000.0,%
108,Netherlands,0.0,30.1494,6.6484,0.0,1.2702,1.4787,0.7451,0.3475,10.8567,0.0,10.3934,0.027,0.3591,0.0309,0.1235,0.0849,0.0541,0.0,0.0,1.498,19.8525,15.8449,0.2355,23.1,<2.5,5.81529169290662,0.0828304803343448,0.0760634339039331,5.65639777866835,17467000.0,%,2.2164,16.5307,2.3549,0.0,11.4822,0.8465,0.7234,2.6936,5.7411,6.7877,0.0,0.0616,0.1847,0.2309,0.1693,2.2626,0.1231,0.0,6.5877,0.6772,33.477,5.5872,1.2621,23.1,<2.5,5.81529169290662,0.0828304803343448,0.0760634339039331,5.65639777866835,17467000.0,%,0.3823,32.7073,0.0573,0.0048,10.9008,2.1075,3.264,0.9319,13.3333,13.7921,0.1481,0.1864,0.4731,0.1625,1.6487,0.3393,0.0,0.0048,0.5926,17.2903,0.043,1.6296,0.0,23.1,<2.5,5.81529169290662,0.0828304803343448,0.0760634339039331,5.65639777866835,17467000.0,%
109,New Caledonia,0.0,22.2697,3.6599,0.0,5.0979,1.0439,0.8385,0.2222,11.6086,0.2851,5.0476,0.0755,3.3036,0.0293,0.0629,0.0335,1.3961,0.0,0.0,0.2557,27.7282,16.8532,0.1887,,7.1,,,,,295000.0,%,1.9087,13.343,1.4361,0.0,15.9607,0.6362,0.8544,1.6906,6.5261,3.7448,1.1089,0.1272,1.7633,0.2545,0.0909,1.2543,0.7635,0.0,4.272,0.1272,36.6661,6.4716,0.9998,,7.1,,,,,295000.0,%,0.3262,29.179,0.1873,0.0181,13.6531,1.6915,3.9207,0.6585,15.3749,7.2857,0.7008,1.2143,0.5739,0.0967,0.7431,0.4591,0.0,0.0,0.1087,20.824,0.0362,1.764,1.1841,,7.1,,,,,295000.0,%
110,New Zealand,0.0,34.1264,13.9753,0.0,1.3271,1.2111,0.6485,0.3049,13.9409,0.0,4.2948,0.0601,2.0228,0.0773,0.0859,0.0687,0.0945,0.0,0.0,1.3357,15.8736,10.2689,0.2835,32.0,<2.5,0.0465209544816523,0.0005013033888109,0.0446962101463806,0.0013234409464608,4987000.0,%,1.6474,15.1117,4.562,0.0,14.4781,0.6336,0.6653,1.6632,6.8747,2.2968,0.0,0.095,0.8871,0.5227,0.1109,1.5524,0.1267,0.0,8.8706,0.5544,34.8804,3.3581,1.1088,32.0,<2.5,0.0465209544816523,0.0005013033888109,0.0446962101463806,0.0013234409464608,4987000.0,%,0.3023,28.5384,0.1539,0.0165,14.1043,1.6765,3.6498,0.6651,18.0949,4.4303,0.5222,1.2917,1.1983,0.1154,1.1763,0.3463,0.0055,0.0055,0.5497,21.4533,0.011,1.693,0.0,32.0,<2.5,0.0465209544816523,0.0005013033888109,0.0446962101463806,0.0013234409464608,4987000.0,%
111,Nicaragua,0.0,17.9935,2.3309,0.0,9.2369,1.008,0.4174,0.1339,7.6069,0.1102,6.5123,0.1102,1.9214,0.4646,0.0079,0.1024,0.4252,0.0,0.0,0.0315,32.0104,19.3952,0.1811,21.8,17,0.0954972710733778,0.0025773195876288,0.0640539721043056,0.0288659793814433,6596000.0,%,0.6658,6.3344,0.5136,0.0,25.0904,0.3614,0.2283,1.2174,2.4729,2.6441,0.2663,0.1141,0.5707,2.3778,0.0,0.856,0.1141,0.0,7.8181,0.0,43.6751,4.1469,0.5326,21.8,17,0.0954972710733778,0.0025773195876288,0.0640539721043056,0.0288659793814433,6596000.0,%,0.0907,16.6679,0.0302,0.0,23.8869,1.1188,1.217,0.4158,7.5894,5.9264,0.7786,0.9902,6.1607,0.0076,0.4611,0.0832,0.0,0.0,0.0076,33.3359,0.0076,0.8542,0.3704,21.8,17,0.0954972710733778,0.0025773195876288,0.0640539721043056,0.0288659793814433,6596000.0,%
112,Niger,0.0,10.9769,2.6573,0.0,12.436,0.058,0.1353,0.2416,3.6332,0.0097,4.3193,0.1836,13.4216,1.4398,0.3479,0.0483,0.029,0.0,0.0,0.0,39.0279,10.5904,0.4445,4.7,16.5,0.0190086402910414,0.0006821282401091,0.0163297366571582,0.001996775393774,24189000.0,%,0.0194,3.4122,0.4847,0.0,31.0585,0.0194,0.0775,0.8337,1.0857,1.6479,0.0194,0.1163,3.2571,6.3009,0.1357,0.6979,0.0194,0.0,0.6786,0.0,46.5878,1.8806,1.6673,4.7,16.5,0.0190086402910414,0.0006821282401091,0.0163297366571582,0.001996775393774,24189000.0,%,0.0061,7.6195,0.0244,0.0,22.2968,0.0427,0.3602,0.2686,3.1321,3.474,0.5922,4.1028,13.1876,0.1587,0.2625,0.0549,0.0,0.0,0.0,42.3774,0.0,2.0209,0.0183,4.7,16.5,0.0190086402910414,0.0006821282401091,0.0163297366571582,0.001996775393774,24189000.0,%
113,Nigeria,0.0,5.0182,0.8078,0.0,7.1082,0.5755,0.5957,0.3433,2.4838,0.0101,0.4645,0.0909,4.3922,0.4241,0.4746,1.2621,0.0404,0.0,0.0,0.2322,44.9818,30.1494,0.5452,7.8,13.4,0.0675472979528476,0.0007989715727175,0.0546022120888716,0.0121461142912584,206140000.0,%,1.2178,1.6237,0.1421,0.0,21.5953,0.1624,0.345,1.441,0.6901,0.2233,0.0203,0.0406,1.2381,1.9687,0.4059,12.259,0.0203,0.0,1.6034,0.1827,48.3864,5.3379,1.096,7.8,13.4,0.0675472979528476,0.0007989715727175,0.0546022120888716,0.0121461142912584,206140000.0,%,0.456,6.3757,0.0089,0.0,24.4299,0.6349,2.3786,0.7154,2.4323,0.5991,0.3219,3.0135,5.723,0.5097,5.9734,0.0179,0.0,0.0,0.2236,43.6287,0.0,2.5306,0.0268,7.8,13.4,0.0675472979528476,0.0007989715727175,0.0546022120888716,0.0121461142912584,206140000.0,%
114,North Macedonia,0.0,19.642,7.1263,0.0,1.9013,0.7305,0.2371,0.4112,6.5409,0.0435,4.8476,0.15,2.0174,0.1355,0.4886,0.0774,1.7078,0.0,0.0,1.1708,30.3628,21.6642,0.745,23.9,3.2,4.54802884615385,0.140192307692308,4.02572115384615,0.382115384615385,2080000.0,%,0.9837,9.4365,2.1841,0.0,16.6889,0.3501,0.1834,2.1507,2.9843,3.5178,0.1334,0.1834,0.8003,0.7836,0.3334,1.8673,0.7669,0.0,6.3021,0.4335,40.5802,6.6022,2.7342,23.9,3.2,4.54802884615385,0.140192307692308,4.02572115384615,0.382115384615385,2080000.0,%,0.2603,20.409,0.0558,0.0,17.4032,1.0226,0.9854,0.9173,8.3173,9.0796,0.9482,1.159,1.8903,0.4648,1.6362,0.9049,0.0,0.0,0.3967,29.5941,0.0248,4.3694,0.1611,23.9,3.2,4.54802884615385,0.140192307692308,4.02572115384615,0.382115384615385,2080000.0,%
115,Norway,0.0,27.2211,6.4445,0.0,1.9601,1.0645,1.5545,0.4055,10.6992,0.3244,7.4043,0.0541,1.7032,0.0912,0.0473,0.0473,1.6796,0.0,0.0,0.8888,22.7806,15.4642,0.1656,25.0,<2.5,1.2001670688695,0.0108037868943753,0.334100612585855,0.85526266938927,5387000.0,%,1.7142,15.5904,2.5713,0.0,14.0092,0.665,1.5516,1.862,5.6746,5.0392,1.1822,0.0739,0.8867,0.8275,0.0591,1.4334,0.9901,0.0,4.1673,0.4286,34.4318,5.9997,0.8423,25.0,<2.5,1.2001670688695,0.0108037868943753,0.334100612585855,0.85526266938927,5387000.0,%,0.3223,29.2815,0.3132,0.0,11.9831,1.6431,6.7042,0.6763,10.4943,9.7681,0.3586,1.1075,1.6704,0.0545,1.044,1.0894,0.0,0.0,0.3677,20.7208,0.1135,1.1983,1.0894,25.0,<2.5,1.2001670688695,0.0108037868943753,0.334100612585855,0.85526266938927,5387000.0,%
116,Oman,0.0,23.6146,2.3712,0.0,3.7744,1.4422,0.929,0.7926,9.0171,0.0325,9.6407,0.2144,1.1174,0.1689,0.7276,0.039,1.0979,0.0,0.0,0.6107,26.3821,17.4495,0.5782,22.9,6.8,2.86528750265224,0.0325058349246764,2.70031826861871,0.132463399108848,4713000.0,%,0.0853,10.0478,0.5629,0.0,19.7544,0.5288,0.7847,6.8918,3.3095,4.7083,0.1024,0.1365,0.3241,0.6482,0.5118,0.8188,0.3753,0.0,4.5036,0.1876,39.9522,4.06,1.7059,22.9,6.8,2.86528750265224,0.0325058349246764,2.70031826861871,0.132463399108848,4713000.0,%,0.0294,24.7856,0.0294,0.0,16.4454,1.4155,4.5695,2.4257,9.462,8.6221,0.6872,0.2819,1.439,0.5697,0.6402,0.3759,0.0,0.0,0.1762,25.2203,0.0059,2.6724,0.1468,22.9,6.8,2.86528750265224,0.0325058349246764,2.70031826861871,0.132463399108848,4713000.0,%
117,Pakistan,0.0,24.8245,8.9701,0.0,4.2124,0.6203,0.0818,0.1227,3.4967,0.0068,11.5125,0.1431,1.0906,0.2726,0.2249,0.0341,0.0204,0.0613,0.0,0.1909,25.1789,18.8603,0.075,7.8,20.3,0.250961346972029,0.0054164026432515,0.230941432063004,0.0146035122657735,220940000.0,%,0.0,11.474,2.514,0.0,23.3348,0.2793,0.0645,0.6446,1.5471,6.9618,0.0215,0.1289,0.6446,1.3537,0.2793,0.7091,0.1289,0.2793,5.2213,0.1289,38.5045,5.2858,0.4942,7.8,20.3,0.250961346972029,0.0054164026432515,0.230941432063004,0.0146035122657735,220940000.0,%,0.0,21.0264,0.0604,0.0,20.8679,0.7472,0.4151,0.2868,4.483,14.6868,0.634,2.3547,2.9509,0.4075,0.566,0.3019,0.0377,0.0226,0.1057,28.9736,0.1132,0.9358,0.0226,7.8,20.3,0.250961346972029,0.0054164026432515,0.230941432063004,0.0146035122657735,220940000.0,%
118,Panama,0.0,25.9557,9.1864,0.0,3.8355,0.8991,0.8614,0.5722,9.1046,0.132,5.7281,0.1823,1.4273,0.1509,0.0377,0.0566,1.0375,0.0,0.0,0.4339,24.0317,16.2412,0.1258,22.5,10,7.62232080317535,0.127363997198226,6.77385010506654,0.721106700910577,4283000.0,%,1.8134,10.7042,2.3063,0.0,21.2852,0.3873,0.5986,2.3944,3.9613,3.257,0.3697,0.1937,0.6514,0.8803,0.0352,0.6866,0.3521,0.0,6.1972,0.1408,39.2958,4.0317,0.4577,22.5,10,7.62232080317535,0.127363997198226,6.77385010506654,0.721106700910577,4283000.0,%,0.4278,26.5459,0.1006,0.0063,16.5629,1.0316,3.1075,0.9058,13.7447,7.3725,1.1889,1.3776,2.0759,0.0315,0.4466,0.3208,0.0,0.0126,0.1258,23.4447,0.0315,0.6605,0.4781,22.5,10,7.62232080317535,0.127363997198226,6.77385010506654,0.721106700910577,4283000.0,%
119,Paraguay,0.0,19.8084,3.8811,0.0,4.9807,1.5622,0.1742,0.3974,10.2335,0.0272,3.7069,0.2558,2.0576,0.2123,0.0218,0.5552,0.5334,0.0,0.0,0.0163,30.1889,21.2672,0.1198,19.0,10.7,1.89666436940041,0.0386905582356995,1.56259131633356,0.295382494831151,7255000.0,%,1.8252,9.3813,1.1863,0.0,15.8241,0.7848,0.146,1.1316,4.5811,2.3362,0.0913,0.3285,0.8213,1.4054,0.0183,7.1181,0.4745,0.0,5.0192,0.0,40.6279,6.2968,0.6023,19.0,10.7,1.89666436940041,0.0386905582356995,1.56259131633356,0.295382494831151,7255000.0,%,0.4165,23.353,0.1458,0.0,15.4044,2.2839,0.8678,0.6178,13.2107,4.665,2.1798,1.201,3.5196,0.0347,1.8813,2.5824,0.0,0.0,0.0069,26.6435,0.0069,0.8469,0.1319,19.0,10.7,1.89666436940041,0.0386905582356995,1.56259131633356,0.295382494831151,7255000.0,%
120,Peru,0.0,18.0402,1.1055,0.0,5.5879,2.1206,1.9497,1.6382,6.8241,0.0302,5.608,0.4322,2.5628,0.603,0.0704,0.6834,0.4523,0.0,0.0,0.2312,31.9598,19.6482,0.4523,19.1,9.7,3.57374177431148,0.127751035827443,3.31051364854984,0.135477089934194,32824000.0,%,1.5529,5.7963,0.1806,0.0,21.2893,0.5778,0.8848,3.485,2.0224,1.8599,0.0542,0.2709,0.7584,1.4987,0.0361,6.7895,0.1806,0.0,4.2615,0.0542,44.2037,3.1239,1.1195,19.1,9.7,3.57374177431148,0.127751035827443,3.31051364854984,0.135477089934194,32824000.0,%,0.2423,18.8205,0.0064,0.0,18.8078,1.5493,4.6541,0.7013,7.6251,3.4173,1.5684,1.7469,3.685,0.0446,3.634,0.5802,0.0,0.0,0.0446,31.1763,0.0128,1.6066,0.0765,19.1,9.7,3.57374177431148,0.127751035827443,3.31051364854984,0.135477089934194,32824000.0,%
121,Philippines,0.0,29.7607,7.3714,0.0,3.4748,1.0544,1.6045,0.7243,18.887,0.0275,0.5684,0.2751,2.2371,0.055,0.0642,0.22,0.3576,0.0,0.0183,0.7701,20.2439,11.9281,0.3576,6.0,13.3,0.488698770772305,0.0101386189211633,0.445757019921337,0.0328031319298054,109581000.0,%,1.0845,7.7225,1.3837,0.0,28.5153,0.2992,0.9723,2.6178,4.4503,0.4301,0.0374,0.187,0.5423,0.2244,0.0748,1.6268,0.2244,0.0,4.0763,0.187,42.2775,2.1503,0.9162,6.0,13.3,0.488698770772305,0.0101386189211633,0.445757019921337,0.0328031319298054,109581000.0,%,0.1914,20.5089,0.3191,0.0,23.277,1.0211,6.6369,1.2763,9.6682,1.6273,1.2444,0.694,0.6063,0.0798,0.6142,0.4068,0.0,0.0319,0.2632,29.4911,0.0,1.9863,0.0558,6.0,13.3,0.488698770772305,0.0101386189211633,0.445757019921337,0.0328031319298054,109581000.0,%
122,Poland,0.0,32.746,12.3719,0.0,1.6183,0.7141,0.4851,0.2057,13.3072,0.0,5.86,0.0078,0.4967,0.031,0.0427,0.1087,0.0737,0.0,0.0,0.4385,17.254,13.9747,0.2639,25.6,<2.5,4.0281745204337,0.101631567973311,3.39233475813178,0.534208194328607,38368000.0,%,2.8507,14.6079,4.1413,0.0,16.0545,0.3687,0.5106,1.0637,6.3537,3.2194,0.0,0.0142,0.2127,0.2695,0.0425,2.6521,0.0851,0.0,6.2544,0.1702,35.3992,4.5242,1.2055,25.6,<2.5,4.0281745204337,0.101631567973311,3.39233475813178,0.534208194328607,38368000.0,%,0.7325,26.8833,0.5045,0.0,16.5268,1.0235,2.6777,0.4657,15.7313,6.8785,0.0728,0.2619,0.5918,0.0534,2.1635,0.3056,0.0,0.0,0.1601,23.1142,0.0631,1.79,0.0,25.6,<2.5,4.0281745204337,0.101631567973311,3.39233475813178,0.534208194328607,38368000.0,%
123,Portugal,0.0,26.4556,9.5983,0.0,2.1808,0.7993,1.0267,0.2825,10.3459,0.0138,4.5442,0.1378,0.4203,0.0689,0.0413,0.0586,1.354,0.0,0.0,0.7648,23.5444,18.0803,0.2825,23.2,<2.5,7.42960507069722,0.136070209653827,5.84683568990736,1.44669917113603,10255000.0,%,3.065,15.4111,3.6379,0.0,13.9072,0.4726,1.3606,2.3203,5.9439,3.8098,0.043,0.1862,0.1862,0.4583,0.043,1.7617,0.7161,0.0,3.6236,0.401,34.5889,6.6457,1.4179,23.2,<2.5,7.42960507069722,0.136070209653827,5.84683568990736,1.44669917113603,10255000.0,%,0.2926,31.7568,0.3581,0.0,11.8389,1.166,6.7383,0.8385,14.695,7.8606,0.9389,0.1528,0.8472,0.0437,1.2402,0.6201,0.0,0.0044,0.3275,18.241,0.0393,1.9564,0.0437,23.2,<2.5,7.42960507069722,0.136070209653827,5.84683568990736,1.44669917113603,10255000.0,%
124,Republic of Moldova,0.0,26.5244,6.8551,0.0,2.557,1.5517,0.6921,0.2987,9.7764,0.0656,7.5326,0.1238,0.2841,0.0291,0.0146,0.0874,0.8305,0.0,0.0,0.1093,23.472,18.8388,0.357,20.1,,4.64619519094767,0.0998585572842998,4.33369165487977,0.212644978783593,3535000.0,%,2.0672,12.299,1.7958,0.0,21.3823,0.6264,0.4803,1.1485,3.6542,5.5753,0.167,0.167,0.0835,0.1462,0.0209,1.754,0.3132,0.0,4.6356,0.0418,37.6905,4.7818,1.1693,20.1,,4.64619519094767,0.0998585572842998,4.33369165487977,0.212644978783593,3535000.0,%,0.3236,24.3154,0.2052,0.0,20.4719,1.8388,2.557,0.513,9.9676,9.0285,0.7182,0.1026,0.363,0.0158,1.5784,0.2525,0.0,0.0,0.0316,25.6886,0.0158,1.8073,0.2052,20.1,,4.64619519094767,0.0998585572842998,4.33369165487977,0.212644978783593,3535000.0,%
125,Romania,0.0,27.4359,6.8987,0.0,2.5519,1.5914,0.1994,0.293,7.9894,0.0366,10.6349,0.1221,0.5495,0.0407,0.4965,0.1099,0.8506,0.0,0.0,0.6797,22.56,16.512,0.4477,24.5,<2.5,3.86332830933943,0.0977547944493529,3.58335845330284,0.182215061587236,19241000.0,%,2.1141,13.1527,2.1708,0.0,17.849,0.7946,0.1703,1.7877,3.7741,6.101,0.1135,0.1419,0.2128,0.2838,0.3263,2.5965,0.3831,0.0,4.0153,0.2554,36.8473,5.0936,1.8161,24.5,<2.5,3.86332830933943,0.0977547944493529,3.58335845330284,0.182215061587236,19241000.0,%,0.5856,24.4846,0.0656,0.0,17.4756,2.0943,0.7871,0.6559,9.8154,10.9445,0.7777,0.253,0.595,0.417,2.0287,0.417,0.0,0.0141,0.1921,25.5201,0.0187,2.7314,0.1265,24.5,<2.5,3.86332830933943,0.0977547944493529,3.58335845330284,0.182215061587236,19241000.0,%
126,Russian Federation,0.0,27.936,7.2,0.0,1.6511,1.9603,0.9415,0.2138,10.8433,0.0091,6.8453,0.1455,0.7823,0.0546,0.0273,0.141,0.4184,0.0,0.0,0.1274,22.064,18.3753,0.2638,25.7,<2.5,2.66310441413997,0.0511200616084998,2.31614224475748,0.295842107773984,146733000.0,%,2.0381,12.7641,2.1273,0.0,16.7361,0.9075,0.6992,1.1306,4.8349,4.0167,0.0298,0.1785,0.2827,0.357,0.0298,3.0646,0.2083,0.0,6.8432,0.0446,37.2359,5.3109,1.1604,25.7,<2.5,2.66310441413997,0.0511200616084998,2.31614224475748,0.295842107773984,146733000.0,%,0.3436,27.3905,0.0834,0.0,16.2085,2.3071,3.2496,0.4123,12.6006,8.1632,0.9817,0.3682,0.7559,0.0344,2.4102,0.3534,0.0,0.0049,0.0393,22.6095,0.0245,1.615,0.0442,25.7,<2.5,2.66310441413997,0.0511200616084998,2.31614224475748,0.295842107773984,146733000.0,%
127,Rwanda,0.0,11.0727,1.0364,0.0,4.8545,0.1636,0.6364,9.6727,5.2182,0.0182,3.7818,0.2364,3.6545,2.6909,0.0545,2.1636,0.0545,0.0,0.0,0.0182,38.9091,15.5091,0.2545,4.8,36.8,0.12613495985176,0.0016754169240271,0.0930126621371217,0.0314468807906115,12952000.0,%,0.858,2.3707,0.1129,0.0,9.4378,0.0226,0.3161,8.8056,0.9257,0.8806,0.0226,0.0903,0.7902,7.5638,0.0452,16.5049,0.0226,0.0,1.4224,0.0,47.6406,1.6934,0.4741,4.8,36.8,0.12613495985176,0.0016754169240271,0.0930126621371217,0.0314468807906115,12952000.0,%,0.5486,7.3852,0.0084,0.0,9.2421,0.0928,2.1185,3.8656,3.0047,1.6796,0.4895,2.0594,18.2478,0.0675,7.6384,0.0506,0.0,0.0,0.0,42.6148,0.0,0.8693,0.0169,4.8,36.8,0.12613495985176,0.0016754169240271,0.0930126621371217,0.0314468807906115,12952000.0,%
128,Saint Kitts and Nevis,0.0,24.3013,4.737,0.0,2.0602,0.56,0.7296,0.3596,14.3547,0.1439,3.7916,0.1233,2.9028,0.1541,0.2055,0.0462,0.1798,0.0,0.0,0.5189,25.7039,19.0043,0.1233,23.1,,0.0740740740740741,0.0,0.0666666666666667,0.0074074074074074,54000.0,%,1.6696,14.2715,1.6498,0.0,13.3969,0.318,0.9541,2.2262,7.5929,3.5778,0.5367,0.1988,1.2324,1.0733,0.1789,1.2522,0.0994,0.0,6.778,0.2186,35.7185,6.5196,0.5367,23.1,,0.0740740740740741,0.0,0.0666666666666667,0.0074074074074074,54000.0,%,0.3183,32.0169,0.1104,0.0,10.9516,0.7795,5.177,0.8444,19.6622,5.151,1.1432,0.8639,2.28,0.1884,0.708,0.1234,0.0,0.0,0.2079,17.9799,0.0585,0.8574,0.5781,23.1,,0.0740740740740741,0.0,0.0666666666666667,0.0074074074074074,54000.0,%
