HR,Name,DM,HD,SAO,FK5,IRflag,r_IRflag,Multiple,GLON,GLAT,SpType,RAh,RAm,RAs,DE-,DEd,DEm,DEs
1133,,BD+36  742,23193,56675,2268,,,,157.64,-14.49,A2m,03,44,31.4,+,36,27,36
1134,Del For,CD-32 1430,23227,194467,133,,,,230.88,-52.77,B5IV,03,42,14.9,-,31,56,18
1135,41Nu  Per,BD+42  815,23230,39078,134,I,,,153.83,-09.63,F5II,03,45,11.6,+,42,34,43
1136,23Del Eri,BD-10  728,23249,130686,135,I,,,198.10,-46.00,K0+IV,03,43,14.9,-,09,45,48
1137,,BD+20  621,23258,76121,,,,,168.47,-26.26,A0V,03,44,28.1,+,20,55,43
1138,,BD+70  257,23277,5000,,,,,136.55,12.86,A2m,03,49,13.8,+,70,52,16
1139,,BD-10  729,23281,149132,,,,,199.05,-46.28,A5m,03,43,33.8,-,10,29,08
1140,16    Tau,BD+23  505,23288,76126,,,,D,166.04,-23.73,B7IV,03,44,48.2,+,24,17,22
1141,,BD+45  811,23300,39085,,,,,152.00,-07.11,B6V,03,45,59.3,+,45,40,55
1142,17    Tau,BD+23  507,23302,76131,136,,,D,166.18,-23.85,B6III,03,44,52.5,+,24,06,48
1143,,CD-37 1415,23319,194475,2265,,,W,239.76,-52.69,K2.5III,03,42,50.1,-,37,18,49
1144,18    Tau,BD+24  546,23324,76137,,,,D,165.70,-23.26,B8V,03,45,09.7,+,24,50,21
1145,19    Tau,BD+24  547,23338,76140,,,,W,165.98,-23.53,B6IV,03,45,12.5,+,24,28,02
1146,24    Eri,BD-01  526,23363,130698,137,,,,188.32,-41.08,B7V,03,44,30.5,-,01,09,47
1147,,BD+55  824,23383,24215,,,,,145.85,1.10,B9Vnn,03,47,32.2,+,55,55,21
1148,Gam Cam,BD+70  259,23401,5006,138,,,W,136.31,13.27,A2IVn,03,50,21.5,+,71,19,56
1149,20    Tau,BD+23  516,23408,76155,,,,D,166.17,-23.51,B8III,03,45,49.6,+,24,22,04
1150,25    Eri,BD-00  593,23413,130704,,I,,,187.48,-40.49,K4III,03,44,56.5,-,00,17,48
1151,21    Tau,BD+24  553,23432,76159,,,,,166.05,-23.36,B8V,03,45,54.4,+,24,33,17
1152,22    Tau,BD+24  556,23441,76164,,,,D,166.09,-23.36,A0Vn,03,46,02.9,+,24,31,41
1153,29    Tau,BD+05  539,23466,111400,1104,,,,181.28,-36.39,B3V,03,45,40.4,+,06,03,00
1154,,CP-78  105,23474,256005,2261,,,,293.48,-35.59,K2III,03,36,30.0,-,78,19,23
1155,,BD+65  369,23475,12916,,I,,,140.02,8.75,M2+IIab,03,49,31.2,+,65,31,34
1156,23    Tau,BD+23  522,23480,76172,,,,W,166.57,-23.75,B6IVe,03,46,19.6,+,23,56,54
1157,,CD-41 1119,23508,216459,,,,W,245.19,-52.14,K1III,03,44,06.2,-,40,39,37
1158,,BD+62  612,23523,12917,,,,,141.45,7.03,A5Vn,03,49,36.7,+,63,17,50
1159,,BD+06  583,23526,111407,,,,W,180.67,-35.81,G9III,03,46,09.5,+,06,48,11
1160,,BD+50  825,23552,24231,,,,,149.16,-02.90,B8Vne,03,48,18.3,+,50,44,12
1161,,BD+56  846,23594,24244,,,,W,145.30,2.19,A0Vn,03,49,19.6,+,57,07,05
1162,26Pi  Eri,BD-12  707,23614,149158,,I,,,201.55,-46.47,M2III,03,46,08.5,-,12,06,06
1163,,BD+33  717,23625,56709,,,,,160.08,-16.25,B2.5V,03,47,52.6,+,33,36,00
1164,,BD+31  650,23626,56707,,,,,161.02,-17.33,G0,03,47,48.9,+,32,11,42
1165,25Eta Tau,BD+23  541,23630,76199,139,I,,W,166.67,-23.45,B7IIIe,03,47,29.1,+,24,06,18
1166,,BD+68  286,23662,12929,,,,,138.26,11.18,B9IVp,03,51,41.8,+,68,30,27
1167,,CD-48 1069,23670,216469,,,,,256.76,-50.51,G8-K0III,03,44,50.6,-,48,03,41
1168,,CP-54  589,23697,233252,,,,W,265.80,-48.46,K1III,03,44,33.8,-,54,16,26
1169,,CD-47 1147,23719,216470,,,,,255.67,-50.63,K1III,03,45,15.8,-,47,21,35
1170,,BD+43  818,23728,39128,,,,,153.52,-08.10,A9IV,03,49,08.2,+,43,57,47
1171,Sig For,CD-29 1413,23738,168820,,,,I,226.81,-51.61,A3V,03,46,27.4,-,29,20,17
1172,,BD+22  563,23753,76215,,,,D,167.33,-23.83,B8V,03,48,20.9,+,23,25,16
1173,27Tau6Eri,CD-23 1565,23754,168827,140,,,,217.34,-50.32,F3III,03,46,50.9,-,23,14,59
1174,30    Tau,BD+10  486,23793,93611,,,,,177.17,-32.53,B3V+F5V,03,48,16.3,+,11,08,36
1175,Bet Ret,CP-65  263,23817,248877,141,,,W,279.24,-43.54,K2+III,03,44,12.0,-,64,48,25
1176,,BD+44  801,23838,39134,,,,,153.02,-07.22,G2III+F2:V,03,50,04.5,+,44,58,04
1177,42    Per,BD+32  667,23848,56727,,,,,160.70,-16.42,A3V,03,49,32.6,+,33,05,29
1178,27    Tau,BD+23  557,23850,76228,142,,,,167.01,-23.23,B8III,03,49,09.7,+,24,03,12
1179,,CD-30 1494,23856,194531,,,,,227.75,-51.50,F8V,03,47,20.1,-,29,54,07
1180,28    Tau,BD+23  558,23862,76229,,,,,166.96,-23.17,B8Vpe,03,49,11.2,+,24,08,12
1181,28Tau7Eri,CD-24 1877,23878,168836,,,,,218.37,-50.30,A2,03,47,39.6,-,23,52,29
1182,,BD-00  602,23887,111433,2273,,,,187.65,-39.43,K3III,03,48,38.9,+,00,13,40
1183,,BD+23  563,23923,76244,,,,,167.37,-23.40,B8V,03,49,43.5,+,23,42,42
1184,Rho For,CD-30 1497,23940,194535,2272,,,,228.19,-51.40,G6III,03,47,56.0,-,30,10,04
1185,,BD+21  535,23950,76250,,,,,168.50,-24.44,B8III,03,49,55.0,+,22,14,40
1186,,CD-36 1453,23958,194537,,,,,237.74,-51.73,B8V,03,47,49.6,-,36,06,21
1187,,BD-21  703,23978,168851,,I,,,214.04,-49.27,K5III,03,48,35.8,-,20,54,11
1188,,BD+25  624,23985,76256,,,,,166.10,-21.93,A2V+A5V,03,50,18.9,+,25,34,46
1189,,CD-38 1297,24071,194550,,,,W,240.17,-51.53,A1V,03,48,35.4,-,37,37,20
1190,,CD-38 1297,24072,194551,,,,W,240.17,-51.53,B9V,03,48,35.9,-,37,37,14
1191,,BD+33  728,24131,56761,,,,W,160.23,-15.14,B1V,03,51,53.7,+,34,21,33
1192,,BD+57  752,24141,24276,1105,,,,145.22,3.22,A5m,03,53,43.3,+,57,58,30
1193,,BD+21  539,24154,76275,,,,D,168.97,-24.32,K0III,03,51,36.6,+,22,01,54
1194,,BD+12  516,24155,93637,,,,,176.12,-30.70,B9pSi,03,51,15.8,+,13,02,45
1195,,CD-36 1467,24160,194559,143,I,',,237.88,-51.40,G9II-III,03,49,27.3,-,36,12,01
1196,,BD+71  222,24164,5040,2277,,,,136.36,13.96,A5m,03,56,30.2,+,71,49,18
1197,,BD+30  582,24167,56762,,,,,162.44,-17.52,A5V,03,52,04.3,+,31,10,06
1198,,BD+48 1015,24240,39175,,,,,151.15,-03.98,K0III,03,53,38.7,+,48,39,02
1199,31    Tau,BD+06  594,24263,111469,2275,,,W,182.07,-34.88,B5V,03,52,00.2,+,06,32,05
1200,,CD-36 1476,24305,194570,,,,,238.24,-51.16,B9.5V,03,50,37.6,-,36,25,31
