HR,Name,DM,HD,SAO,FK5,IRflag,r_IRflag,Multiple,GLON,GLAT,SpType,RAh,RAm,RAs,DE-,DEd,DEm,DEs
7609,10    Sge,BD+16 4067,188727,105436,,,,,55.17,-06.12,G5Ib,19,56,01.3,+,16,38,05
7610,61Phi Aql,BD+11 4055,188728,105438,3590,,,,50.66,-08.80,A1IV,19,56,14.3,+,11,25,26
7611,,BD+59 2137,188793,32093,,,,W,92.58,15.87,A3V,19,53,35.4,+,59,42,32
7612,Mu 2Pav,CP-67 3698,188887,254707,,,,,328.95,-31.67,K2IVCNII,20,01,52.4,-,66,56,39
7613,22    Cyg,BD+38 3817,188892,69101,,,,,73.90,5.19,B5IV,19,55,51.7,+,38,29,12
7614,61    Sgr,BD-15 5516,188899,163141,1522,,,,26.02,-21.54,A3IV,19,57,57.0,-,15,29,29
7615,21Eta Cyg,BD+34 3798,188947,69116,1521,I,,,71.02,3.36,K0III,19,56,18.4,+,35,05,00
7616,,BD+20 4351,188971,87963,,,,,59.05,-04.08,A2IV,19,57,00.2,+,20,59,53
7617,,CD-3017525,188981,211708,,,,,10.62,-27.01,K1III,19,58,56.4,-,30,32,17
7618,60    Sgr,CD-2614682,189005,188778,,I,,,15.23,-25.67,G6IIIBa0.2,19,58,57.2,-,26,11,44
7619,24Psi Cyg,BD+52 2572,189037,32114,,,,,86.11,12.21,A4Vn,19,55,37.8,+,52,26,20
7620,,BD+35 3878,189066,69129,,,,,72.06,3.89,B5IV,19,56,44.2,+,36,15,03
7621,,CD-4912949,189080,229973,3595,,,,349.59,-31.19,K0III,20,00,25.3,-,49,21,04
7622,11    Sge,BD+16 4081,189090,105471,3592,,,,55.52,-06.40,B9III,19,57,45.4,+,16,47,21
7623,The1Sgr,CD-3513831,189103,211716,751,,,,5.52,-28.47,B3IV,19,59,44.2,-,35,16,35
7624,The2Sgr,CD-3513832,189118,211717,,,,W,6.17,-28.34,A4/5IV,19,59,51.3,-,34,41,52
7625,,CP-59 7564,189124,246389,3598,,,,337.85,-31.96,M6III,20,01,44.7,-,59,22,34
7626,,BD+57 2092,189127,32116,,,,,91.35,15.00,G9III,19,55,22.1,+,58,15,01
7627,,CD-4313735,189140,229977,,,,,356.85,-30.27,M0II-III,20,00,26.5,-,43,02,36
7628,,BD+39 3968,189178,49011,3593,,,W,75.65,5.93,B5V,19,57,13.9,+,40,22,05
7629,,CD-3813802,189195,211719,,,,W,2.86,-29.15,G8III,20,00,15.9,-,37,42,08
7630,,CD-4513549,189198,229981,3597,,,,354.49,-30.68,A8III,20,00,48.3,-,45,06,47
7631,,CD-3414082,189245,211724,,,,,7.29,-28.18,F7V,20,00,20.3,-,33,42,14
7632,,BD+50 2930,189253,32130,,,,,84.82,11.31,A1V,19,56,45.1,+,50,54,09
7633,,BD+58 2013,189276,32122,3591,I,,,91.93,15.21,K5II-III,19,55,55.4,+,58,50,46
7634,,BD+56 2331,189296,32128,,,,,89.98,14.15,A4Vn,19,56,19.0,+,56,41,13
7635,12Gam Sge,BD+19 4229,189319,105500,752,I,,,57.97,-05.21,M0-III,19,58,45.4,+,19,29,32
7636,,BD+00 4375,189322,125310,3596,,,,42.11,-14.42,G8III,19,59,22.7,+,01,22,40
7637,,BD-10 5238,189340,163168,,,,W,31.60,-19.66,F8V,19,59,47.4,-,09,57,30
7638,,BD+41 3549,189377,49031,,,,,77.36,6.79,A3V,19,57,56.2,+,42,15,39
7639,,CD-4113807,189388,229993,,,,,359.42,-30.04,A2-3V,20,01,26.4,-,40,48,51
7640,,BD+30 3837,189395,69188,3594,,,,67.77,0.82,B9Vn,19,58,38.0,+,30,59,01
7641,14    Vul,BD+22 3872,189410,88016,,,,,61.11,-03.41,F0,19,59,10.5,+,23,06,05
7642,,BD+37 3703,189432,69193,,,,,73.84,4.54,B5IV,19,58,34.4,+,38,06,20
7643,,CD-2315935,189561,188829,3600,,,,19.04,-25.02,G7V,20,01,23.9,-,22,44,14
7644,,CP-67 3703,189567,254721,,,,,328.48,-31.98,G3V,20,05,32.8,-,67,19,15
7645,13    Sge,BD+17 4183,189577,105522,,I,,,56.43,-06.49,M4IIIa,20,00,03.3,+,17,31,00
7646,,BD+45 3025,189684,49058,,,,,80.53,8.37,A5III,19,59,20.5,+,45,46,20
7647,25    Cyg,BD+36 3806,189687,69231,3599,,,,73.07,3.76,B3IVe,19,59,55.2,+,37,02,34
7648,,BD+08 4300,189695,125355,,I,,,48.74,-11.25,K5III,20,00,58.9,+,08,33,29
7649,63    Sgr,BD-14 5618,189741,163195,,,,,28.27,-21.69,A3V,20,01,58.6,-,13,38,13
7650,62    Sgr,CD-2816355,189763,188844,753,I,,,13.92,-26.93,M4III,20,02,39.5,-,27,42,35
7651,,BD+51 2728,189775,32170,,,,,86.04,11.54,B5III,19,59,15.4,+,52,03,21
7652,,CD-3813828,189831,211767,3602,,,,2.77,-29.84,K5III,20,03,33.5,-,37,56,27
7653,15    Vul,BD+27 3587,189849,88071,1523,,,,65.30,-01.34,A4III,20,01,06.1,+,27,45,13
7654,,BD+63 1584,189900,18627,,,,,96.42,17.09,A3V,19,58,28.7,+,63,32,03
7655,,BD+36 3820,189942,69267,,,,,73.26,3.56,K0III,20,01,15.3,+,37,05,56
7656,,BD+24 3975,189944,88088,,,,,62.87,-03.02,B4V,20,01,44.7,+,24,48,01
7657,16    Vul,BD+24 3977,190004,88098,,,,,63.02,-03.00,F2III,20,02,01.4,+,24,56,17
7658,,BD-22 5318,190009,188863,,,,D,19.39,-25.48,F6V,20,03,44.3,-,22,35,44
7659,,CD-3215682,190056,211782,3606,I,,W,9.34,-28.55,K1III,20,04,19.6,-,32,03,23
7660,26    Cyg,BD+49 3158,190147,49098,,I,,,84.49,10.28,K1II-III,20,01,21.6,+,50,06,17
7661,,BD-07 5159,190172,144038,,,,,34.46,-19.52,F4III,20,04,01.2,-,07,28,11
7662,,BD+18 4365,190211,105608,,I,,W,57.67,-06.63,K3II-III+G8IV,20,03,16.4,+,18,30,02
7663,,CP-66 3473,190222,254731,,,,,329.57,-32.36,K5III,20,08,20.5,-,66,21,17
7664,,BD+15 4033,190229,105615,,,,,55.58,-07.97,B9pHgMn,20,03,30.0,+,16,01,53
7665,Del Pav,CP-66 3474,190248,254733,754,,,,329.79,-32.40,G6-8IV,20,08,43.6,-,66,10,55
7666,,BD+69 1084,190252,9592,,,,,102.91,20.06,G8III,19,58,41.9,+,70,22,01
7667,62    Aql,BD-01 3887,190299,144045,,I,,,40.83,-16.51,K4III,20,04,23.2,-,00,42,34
7668,,CD-3314700,190306,211798,,,,W,8.38,-29.04,B8,20,05,32.1,-,33,00,00
7669,63Tau Aql,BD+06 4416,190327,125403,1524,I,,,48.01,-12.57,gK0,20,04,08.3,+,07,16,41
7670,,BD+29 3872,190360,88133,,,,,67.41,-00.66,G6IV+M6V,20,03,37.4,+,29,53,48
7671,,BD-12 5641,190390,163245,,,,W,30.60,-21.53,F1III,20,05,05.4,-,11,35,58
7672,15    Sge,BD+16 4121,190406,105635,,,,W,56.56,-07.55,G1V,20,04,06.2,+,17,04,12
7673,Xi  Tel,CP-53 9794,190421,246443,755,,,,345.55,-32.57,M1IIab,20,07,23.2,-,52,52,51
7674,,CP-55 9317,190422,246444,,,,,343.02,-32.69,F8V,20,07,35.1,-,55,00,59
7675,65    Sgr,BD-13 5569,190454,163253,,,,,29.59,-22.06,A1Vn,20,05,26.4,-,12,39,55
7676,64    Dra,BD+64 1405,190544,18658,3604,I,,W,97.77,17.38,M1III-IIIb,20,01,28.5,+,64,49,16
7677,,BD+22 3913,190590,88163,,,,S,61.91,-04.49,A5Vn,20,04,58.6,+,23,12,37
7678,,BD+31 3925,190603,69362,,,,,69.49,0.39,B1.5Ia,20,04,36.1,+,32,13,07
7679,16Eta Sge,BD+19 4277,190608,105659,3609,I,,,59.18,-06.23,K2III,20,05,09.5,+,19,59,28
7680,,BD+15 4040,190658,105663,,I,,,55.36,-08.64,M2.5III,20,05,26.5,+,15,30,01
7681,,BD-04 5013,190664,144062,,,,,37.92,-18.48,K0,20,06,12.2,-,04,04,42
7682,65    Dra,BD+64 1407,190713,18669,,,,W,97.64,17.21,gG7,20,02,20.3,+,64,38,04
7683,,BD+38 3896,190771,69377,,,,,74.84,3.64,G5IV,20,05,09.8,+,38,28,42
7684,,BD+47 3004,190781,49152,3610,,,S,83.12,8.88,A2IV,20,04,28.8,+,48,13,47
7685,67Rho Dra,BD+67 1222,190940,18676,3608,I,,W,100.70,18.64,K3III,20,02,49.1,+,67,52,25
7686,69    Dra,BD+76  771,190960,9606,3605,I,,,108.94,22.48,M3III,19,59,36.6,+,76,28,53
7687,,BD+51 2763,190964,32272,,I,,,86.31,10.65,M1IIIa,20,05,06.7,+,51,50,22
7688,17    Vul,BD+23 3896,190993,88212,3611,,,,62.48,-04.65,B3V,20,06,53.4,+,23,36,52
7689,27    Cyg,BD+35 3959,191026,69413,,,,W,72.86,2.10,K0IV,20,06,21.8,+,35,58,21
7690,64    Aql,BD-01 3899,191067,144095,,,,,41.30,-17.29,K1IV,20,08,01.8,-,00,40,42
7691,,CP-57 9622,191095,246470,,,,W,340.04,-33.20,B7V+A3V,20,11,07.2,-,57,31,26
7692,,BD+55 2324,191096,32276,,,,,90.30,12.90,F4V,20,05,21.5,+,56,20,29
7693,,BD+08 4344,191104,125478,,,,,50.35,-12.29,F3V,20,07,50.3,+,09,23,59
7694,,BD-10 5285,191110,163290,,,,,32.48,-21.65,B9.5III,20,08,31.3,-,10,03,46
7695,,BD+63 1593,191174,18692,,,,,97.08,16.64,A2II-III,20,04,44.6,+,63,53,26
7696,,BD+16 4153,191178,105733,,I,,,56.71,-08.58,M3III,20,08,06.5,+,16,39,51
7697,,BD+52 2623,191195,32286,3613,,,W,87.56,11.18,F5V,20,06,13.8,+,53,09,57
7698,,CP-83  695,191220,258856,,,,,310.00,-29.60,Am,20,24,54.4,-,83,18,38
7699,,BD+34 3881,191243,69457,3615,,,,71.69,1.03,B5Ib,20,07,41.4,+,34,25,23
7700,,BD+10 4189,191263,105743,3616,,,,51.62,-11.78,B3V,20,08,38.3,+,10,43,33
7701,66    Dra,BD+61 1970,191277,18700,3612,I,,,95.39,15.65,K3III,20,05,32.8,+,61,59,44
7702,,BD+49 3195,191329,32296,,,,,85.08,9.54,A3V,20,07,11.5,+,50,13,45
7703,,CD-3613940,191408,211885,,,,W,5.26,-30.91,K3V,20,11,11.9,-,36,06,04
7704,,BD+67 1226,191372,18699,,I,,,100.94,18.54,M3IIIa,20,04,53.3,+,68,01,38
7705,17The Sge,BD+20 4453,191570,88276,,,,,60.55,-06.68,F5IV,20,09,56.6,+,20,54,55
7706,,CD-4313855,191584,230100,,,,,357.57,-32.39,K1III,20,12,23.9,-,42,46,50
7707,,CP-63 4571,191603,254756,3619,,,,332.97,-33.29,F0IV,20,14,26.9,-,63,24,57
7708,28    Cyg,BD+36 3907,191610,69518,1525,,,,73.91,2.04,B2.5Ve,20,09,25.6,+,36,50,23
7709,,BD-09 5382,191639,144144,3618,,,,33.97,-21.71,B1V,20,11,10.1,-,08,50,32
7710,65The Aql,BD-01 3911,191692,144150,756,I,',W,41.58,-18.08,B9.5III,20,11,18.3,-,00,49,17
7711,18    Vul,BD+26 3815,191747,88295,,,,,65.71,-03.57,A3III,20,10,33.5,+,26,54,15
7712,1Xi 1Cap,BD-12 5664,191753,163328,,,,,30.58,-23.39,K0III,20,11,57.9,-,12,23,33
7713,,BD+20 4462,191814,88309,,,,,60.90,-06.79,K0,20,11,03.5,+,21,08,05
7714,,CP-5211643,191829,246495,,,,,346.13,-33.60,K4III,20,14,19.0,-,52,26,44
7715,2Xi 2Cap,BD-13 5608,191862,163337,,,,W,30.41,-23.59,F7V,20,12,25.9,-,12,37,03
7716,,BD+21 4088,191877,88315,,,,,61.57,-06.45,B1Ibe,20,11,21.1,+,21,52,32
7717,,BD+00 4444,191984,125567,,,,,43.30,-17.56,B9pCrEu:Sr:,20,12,35.2,+,00,52,03
7718,19    Vul,BD+26 3825,192004,88330,,I,,,65.78,-03.85,K3II-III,20,11,48.0,+,26,48,32
7719,20    Vul,BD+26 3828,192044,88339,,,,,65.53,-04.07,B7Ve,20,12,00.7,+,26,28,44
7720,66    Aql,BD-01 3920,192107,144181,,I,,,41.65,-18.60,K5III,20,13,13.9,-,01,00,34
7721,,BD+47 3045,192276,49314,,,,,83.37,7.54,B7V,20,12,03.8,+,47,44,13
7722,,CD-2714659,192310,189065,,,,,15.62,-29.38,K0V,20,15,17.4,-,27,01,58
7723,,BD+23 3935,192342,88377,,,,,63.85,-05.61,A1m,20,13,40.6,+,24,14,20
7724,67Rho Aql,BD+14 4227,192425,105878,1526,,,,56.24,-10.61,A2V,20,14,16.6,+,15,11,51
7725,,CD-3017773,192433,211940,3621,,,,12.38,-30.36,K4III,20,15,50.6,-,30,00,19
7726,,BD+51 2796,192439,32354,,,,,86.60,9.47,K2.5III,20,12,31.8,+,51,27,49
7727,68    Dra,BD+61 1983,192455,18751,,,,W,95.83,15.08,F5V,20,11,34.9,+,62,04,43
7728,,CD-3614011,192472,211948,,,,W,5.09,-32.02,M4III,20,16,23.7,-,36,27,16
7729,,CD-3514020,192486,211950,,,,,6.54,-31.76,F2V,20,16,26.5,-,35,11,52
7730,30    Cyg,BD+46 2881,192514,49332,,,,,82.71,6.87,A5IIIn,20,13,18.0,+,46,48,57
7731,21    Vul,BD+28 3675,192518,88391,,,,,67.66,-03.27,A7IVn,20,14,14.5,+,28,41,41
7732,,CP-63 4576,192531,254772,,,,,333.13,-33.82,K0III,20,19,03.0,-,63,13,52
7733,,BD+42 3642,192535,49336,3620,I,,,79.85,4.93,K4III,20,13,42.8,+,43,22,45
7734,,BD+36 3949,192538,69653,,,,,74.23,1.14,A0V,20,14,05.0,+,36,36,19
7735,31    Cyg,BD+46 2882,192577,49337,757,I,,,82.68,6.78,K2II+B3V,20,13,37.9,+,46,44,29
7736,29    Cyg,BD+36 3955,192640,69678,,,,W,74.45,1.17,A2V,20,14,32.0,+,36,48,23
7737,,BD+41 3668,192659,49345,,,,,78.85,4.13,B9IV-V,20,14,21.6,+,42,06,13
7738,3    Cap,BD-12 5680,192666,163402,,,,,31.12,-24.35,B9pHg,20,16,22.8,-,12,20,13
7739,,BD+25 4165,192685,88410,,,,,65.19,-05.17,B3Ve,20,15,15.9,+,25,35,31
7740,33    Cyg,BD+56 2376,192696,32378,758,,,,91.08,12.06,A3IV-Vn,20,13,23.9,+,56,34,04
7741,22    Vul,BD+23 3944,192713,88416,,I,,,63.47,-06.36,G3Ib-II,20,15,30.2,+,23,30,31
7742,,BD+60 2099,192781,18766,,I,,,94.66,14.16,gK5,20,13,27.7,+,60,38,26
7743,,BD+33 3827,192787,69701,,,,,71.99,-00.68,K0III,20,15,23.7,+,33,43,46
7744,23    Vul,BD+27 3666,192806,88428,,I,,S,67.11,-04.04,K3-IIIFe-1,20,15,46.1,+,27,48,51
7745,,CD-4813509,192827,230144,1528,,,,351.87,-34.08,M1III,20,18,56.0,-,47,42,39
7746,18    Sge,BD+21 4130,192836,88433,,,,,61.96,-07.57,K1III,20,16,19.7,+,21,35,55
7747,5Alp1Cap,BD-12 5683,192876,163422,1527,I,,,31.09,-24.70,G3Ib,20,17,38.9,-,12,30,30
7748,4    Cap,BD-22 5384,192879,189114,1529,,,,21.50,-28.31,K0III,20,18,01.4,-,21,48,36
7749,,CD-4713340,192886,230150,,,,,352.03,-34.13,F5V,20,19,17.9,-,47,34,49
7750,1Kap Cep,BD+77  764,192907,9665,759,,,,110.38,22.50,B9III,20,08,53.3,+,77,42,41
7751,32    Cyg,BD+47 3059,192909,49385,,I,,W,83.67,7.05,K3Ib+B3V,20,15,28.3,+,47,42,52
7752,,BD+38 3977,192934,69720,,,,S,76.36,2.08,A1V,20,16,03.4,+,38,53,52
7753,24    Vul,BD+24 4075,192944,88451,760,,,,64.61,-05.97,G8III,20,16,47.1,+,24,40,16
7754,6Alp2Cap,BD-12 5685,192947,163427,761,I,,,31.10,-24.81,G8IIIb,20,18,03.3,-,12,32,41
7755,,BD+49 3236,192983,32400,,,,S,85.82,8.38,A2Vn,20,15,43.4,+,50,13,58
7756,,BD+45 3119,192985,49395,,,,,81.93,5.80,F5V:,20,16,00.6,+,45,34,46
7757,,BD+36 3978,192987,69725,,,,,74.87,0.99,B6III,20,16,28.2,+,37,03,23
7758,,CP-55 9365,193002,246535,3626,,,,342.99,-34.54,M0-1III,20,20,32.3,-,55,03,03
7759,,BD+39 4114,193092,49410,,I,,,77.67,2.76,K3.5IIab-IIb,20,16,55.3,+,40,21,54
7760,,BD+28 3695,193094,88473,,,,,68.43,-03.62,G9III,20,17,31.5,+,29,08,53
7761,7Sig Cap,BD-19 5776,193150,163445,3625,I,,,24.48,-27.66,K3II,20,19,23.6,-,19,07,07
7762,,BD+42 3670,193217,49425,,I,,,79.69,3.99,K4II:,20,17,29.1,+,42,43,19
7763,34    Cyg,BD+37 3871,193237,69773,,I,,,75.83,1.32,B2pe,20,17,47.2,+,38,01,59
7764,,CD-2916981,193281,189164,,,,,13.60,-31.11,A4/7V,20,20,28.1,-,29,11,50
7765,,CD-3614057,193302,212025,1530,,,,6.22,-32.75,K3-4III,20,20,51.9,-,35,40,25
7766,,CD-5012929,193307,246546,3630,,,,349.13,-34.67,G0V,20,21,41.0,-,49,59,58
7767,,BD+40 4103,193322,49438,,,,,78.10,2.78,O9V,20,18,07.0,+,40,43,56
7768,,BD-01 3951,193329,144296,,,,,42.40,-20.06,K0,20,19,43.3,-,01,04,43
7769,36    Cyg,BD+36 3998,193369,69803,,,,,75.05,0.63,A2V,20,18,28.6,+,37,00,00
7770,35    Cyg,BD+34 3967,193370,69806,3627,,,,73.40,-00.54,F5Ib,20,18,39.1,+,34,58,58
7771,,BD+12 4289,193373,105961,,I,,,55.22,-12.74,M1III,20,19,29.2,+,13,13,01
7772,,BD-06 5451,193429,144313,3628,I,,,37.47,-22.67,K5,20,20,26.1,-,06,21,42
7773,8Nu  Cap,BD-13 5642,193432,163468,,,,,31.17,-25.48,B9.5V,20,20,39.8,-,12,45,33
7774,,BD+13 4360,193472,105974,,,,,55.57,-12.67,A5-F2m,20,20,00.2,+,13,32,53
7775,,BD-15 5626,193452,163471,,,,,29.12,-26.32,A0III,20,20,46.6,-,14,47,06
7776,9Bet Cap,BD-15 5629,193495,163481,762,I,,W,29.15,-26.37,F8V+A0,20,21,00.7,-,14,46,53
7777,,BD+45 3139,193536,49462,,,,,82.82,5.80,B2V,20,18,49.6,+,46,19,22
7778,,BD+14 4263,193556,105988,3629,,,,56.50,-12.19,G8III,20,20,20.5,+,14,34,09
7779,Kap1Sgr,CD-4214836,193571,230177,763,,,W,358.75,-34.13,A0V,20,22,27.5,-,42,02,59
7780,,BD+17 4294,193579,105991,,I,,,59.26,-10.44,gK5,20,20,21.4,+,17,47,35
7781,,BD+54 2329,193592,32455,,,,,90.45,10.84,A2V s,20,18,24.8,+,55,23,50
7782,,BD+36 4008,193621,69841,,,,,75.31,0.48,A0III,20,19,48.3,+,37,07,57
7783,,BD+66 1281,193664,18796,,,,,100.45,16.92,G3V,20,17,31.3,+,66,51,14
7784,,BD+38 4021,193702,69856,,,,,77.23,1.69,A1V,20,20,15.2,+,39,24,12
7785,,CP-81  901,193721,258861,3994,,,W,312.42,-30.69,G6-8II,20,33,17.5,-,80,57,54
7786,,BD+46 2910,193722,49482,,,,,83.35,5.93,B8/9IIIpSi,20,19,56.1,+,46,50,15
7787,Kap2Sgr,CD-4214847,193807,230184,,,,W,358.34,-34.44,A5V,20,23,53.2,-,42,25,22
7788,,BD-10 5369,193896,144361,3632,,,,34.55,-24.70,G5IIIa,20,23,00.8,-,09,39,17
7789,25    Vul,BD+23 3986,193911,88580,,,,,65.09,-07.09,B8IIIne,20,22,03.4,+,24,26,46
7790,Alp Pav,CP-57 9674,193924,246574,764,,,W,340.91,-35.19,B2IV,20,25,38.9,-,56,44,06
7791,,BD+53 2384,193944,32491,,I,,,89.08,9.60,K4III,20,20,30.4,+,53,35,46
7792,71    Dra,BD+61 2000,193964,18807,,,,,96.48,14.36,B9V,20,19,36.7,+,62,15,27
7793,,BD+14 4275,194012,106042,,,,,56.82,-12.71,F8V,20,22,52.3,+,14,33,05
7794,,BD+04 4434,194013,125747,1531,,,,48.75,-17.63,G8III-IV,20,23,10.7,+,05,20,35
7795,,BD+40 4136,194069,49524,,,,,78.85,2.39,G5III+A,20,22,03.0,+,41,07,53
7796,37Gam Cyg,BD+39 4159,194093,49528,765,I,,,78.15,1.87,F8Ib,20,22,13.7,+,40,15,24
7797,,BD+30 4005,194097,69917,,I,,,70.81,-03.33,K2,20,22,37.4,+,31,15,54
7798,,BD+45 3152,194152,49531,,,,,82.70,5.04,K0III,20,22,05.4,+,45,47,42
7799,,CD-4114024,194184,230197,,,,,0.35,-34.58,K3III,20,25,47.9,-,40,47,47
7800,,BD+40 4141,194193,49546,,I,,,78.84,2.22,K7III,20,22,45.3,+,41,01,34
7801,,CD-2917049,194215,189264,1532,,,D,14.55,-32.01,G8II/III,20,25,26.8,-,28,39,48
7802,,BD+42 3721,194220,49550,,,,,80.46,3.32,K0III,20,22,55.5,+,42,59,00
7803,,BD+00 4495,194244,125769,,,,,45.03,-20.09,B9V,20,24,37.5,+,01,04,07
7804,,BD+68 1121,194258,18817,3631,I,,,102.43,17.72,M4.5-5III,20,20,06.0,+,68,52,49
7805,,BD+63 1618,194298,18826,,I,,,98.10,15.11,K5III,20,21,11.4,+,63,58,49
7806,39    Cyg,BD+31 4062,194317,69950,3633,I,,,71.72,-03.02,K2.5IIIFe-0.5,20,23,51.7,+,32,11,24
7807,,BD+37 3916,194335,69951,,,,,76.04,0.04,B2Ven,20,23,44.4,+,37,28,35
7808,,CD-3713741,194433,212126,,,,W,4.46,-34.26,K2IV-V,20,26,53.0,-,37,24,11
7809,,BD-03 4888,194454,144412,,,,,41.54,-22.19,gK1,20,25,42.5,-,02,48,01
7810,,BD+09 4526,194526,125797,,I,,,53.30,-15.71,K5III,20,25,44.0,+,10,03,23
7811,,BD+20 4559,194577,88664,3634,,,,63.02,-09.48,G6III,20,25,40.5,+,21,24,35
7812,,CP-81  906,194612,258864,,,,,311.99,-30.75,K5III,20,38,18.6,-,81,17,20
7813,,BD+19 4408,194616,106100,,,,,61.77,-10.41,K0III,20,26,01.2,+,19,51,54
7814,10Pi  Cap,BD-18 5685,194636,163592,,,,,26.22,-29.08,B8II-III,20,27,19.2,-,18,12,42
7815,,BD+53 2397,194668,32534,,,,,89.38,9.08,B9.5III,20,24,32.4,+,53,33,07
7816,,BD+16 4259,194688,106101,3635,,,,59.66,-11.91,K0,20,26,23.2,+,17,18,56
7817,,CD-3614166,194783,212160,3637,,,,6.69,-34.31,B8II/III,20,28,46.7,-,35,35,45
7818,,BD+59 2228,194882,32562,,,,,94.55,12.38,A2IV s,20,25,05.1,+,59,36,00
7819,,BD-16 5609,194918,163612,,,,,28.97,-28.46,K0III,20,28,43.6,-,15,44,30
7820,,BD+07 4477,194937,125841,3638,,,,52.19,-17.07,G9III,20,28,07.5,+,08,26,15
7821,68    Aql,BD-03 4906,194939,144468,,,,W,41.36,-23.05,B9V,20,28,24.9,-,03,21,28
7822,11Rho Cap,BD-18 5689,194943,163614,,,,,26.80,-29.27,F2IV,20,28,51.6,-,17,48,49
7823,,BD+33 3910,194951,70044,,,,,73.86,-02.34,F1II,20,27,07.7,+,34,19,44
7824,,BD+02 4175,194953,125843,,,,,47.24,-19.95,G8III,20,28,16.8,+,02,56,13
7825,,BD-22 5442,195006,189345,3639,I,,,21.90,-31.01,M1III,20,29,31.3,-,22,23,30
7826,40    Cyg,BD+37 3941,195050,70056,,,,,77.26,-00.02,A3V,20,27,34.3,+,38,26,25
7827,,BD+56 2421,195066,32590,,,,,92.13,10.59,B9V,20,26,23.5,+,56,38,20
7828,43    Cyg,BD+48 3128,195068,49643,,,,,86.14,6.40,dF0,20,27,02.3,+,49,23,00
7829,12Omi Cap,BD-19 5830,195093,163625,,,,,26.07,-29.78,A7V,20,29,52.5,-,18,35,12
7830,12Omi Cap,BD-19 5831,195094,163626,,,,,26.08,-29.78,A3Vn,20,29,53.9,-,18,35,00
7831,69    Aql,BD-03 4918,195135,144495,1533,I,,,41.97,-23.10,K2III,20,29,39.0,-,02,53,08
7832,,CD-2917122,195206,189374,,,,,14.42,-33.29,A5V,20,30,56.8,-,29,06,45
7833,,BD+19 4423,195217,106156,,,,,62.41,-10.94,A3m,20,29,21.1,+,20,05,16
7834,41    Cyg,BD+29 4057,195295,70095,1534,I,,,70.91,-05.04,F5II,20,29,23.7,+,30,22,07
7835,42    Cyg,BD+35 4141,195324,70096,1535,,,,75.85,-01.47,A1Ib,20,29,20.4,+,36,27,17
7836,1    Del,BD+10 4303,195325,106172,,,,,54.66,-16.21,A1eShell,20,30,18.0,+,10,53,45
7837,,BD-15 5696,195330,163645,,,,W,29.94,-28.71,gG5+F,20,31,04.3,-,15,03,23
7838,,CP-70 2792,195402,254820,,,,,325.19,-34.32,K2III,20,35,51.7,-,69,36,40
7839,,BD+20 4602,195479,88783,,,,W,63.06,-10.95,A1m,20,30,58.1,+,20,36,21
7840,,BD+10 4307,195483,106196,,,,,55.10,-16.21,B8V,20,31,13.0,+,11,15,38
7841,,BD+45 3196,195506,49704,,,,,83.60,3.99,K2III,20,29,59.9,+,45,55,43
7842,,CD-2514854,195549,189416,,,,,19.33,-32.54,A0,20,32,52.4,-,24,56,38
7843,,BD+55 2411,195554,32627,3640,,,W,91.89,9.92,B9Vne,20,29,27.1,+,56,04,05
7844,45Ome1Cyg,BD+48 3142,195556,49712,3641,,,,86.07,5.74,B2.5IV,20,30,03.5,+,48,57,06
7845,,BD-10 5423,195564,163665,1536,,,,35.45,-26.86,G2.5IV,20,32,23.7,-,09,51,12
7846,Nu  Mic,CD-4414020,195569,230276,3643,,,,356.00,-36.45,K0III,20,33,55.1,-,44,30,58
7847,44    Cyg,BD+36 4105,195593,70135,,,,,76.44,-01.45,F5Iab,20,30,59.2,+,36,56,09
7848,Phi1Pav,CP-61 6492,195627,254823,,,,,336.04,-36.09,F1III,20,35,34.8,-,60,34,54
7849,,BD+25 4272,195692,88808,,,,,67.51,-08.15,Am,20,31,58.2,+,25,48,16
7850,2The Cep,BD+62 1821,195725,18897,767,,,,97.76,13.80,A7III,20,29,34.9,+,62,59,39
7851,46Ome2Cyg,BD+48 3154,195774,49741,,I,,W,86.41,5.73,M2IIIab,20,31,18.8,+,49,13,13
7852,2Eps Del,BD+10 4321,195810,106230,768,,,,55.42,-16.59,B6III,20,33,12.8,+,11,18,12
7853,,CD-3814108,195814,212246,,,,,3.94,-35.94,A8III:,20,34,55.5,-,38,05,23
7854,,BD+51 2882,195820,32649,,,,,88.94,7.53,K0III,20,31,21.1,+,52,18,35
7855,,BD-14 5781,195838,163686,3645,,,,31.68,-28.88,F6V,20,34,11.7,-,13,43,16
7856,,CD-3018013,195843,212249,,,,,13.08,-34.44,B8V,20,34,47.4,-,30,28,25
7857,,BD+09 4579,195922,125960,,,,,54.42,-17.41,A2Vnn,20,33,53.6,+,10,03,35
7858,3Eta Del,BD+12 4378,195943,106248,,,,,57.02,-15.80,A3IV s,20,33,57.0,+,13,01,38
7859,Rho Pav,CP-61 6495,195961,254835,3647,,,,334.83,-36.18,F5Del Del,20,37,35.3,-,61,31,48
7860,,BD+56 2444,195964,32667,,I,,,92.67,10.06,gK5,20,31,46.5,+,56,46,48
7861,,BD+42 3778,195986,49772,3644,,,,81.69,1.96,B4III,20,32,52.3,+,43,11,30
7862,,BD+20 4629,196035,88846,,,,,63.81,-11.35,B3IV,20,34,10.0,+,20,59,07
